"","date","hits","keyword","geo","gprop","category","hits_backup","datetime"
"158",2016-06-06 00:30:00,117.142857142857,"BTC","world","web",0,41,2016-06-05
"159",2016-06-07 00:30:00,117.142857142857,"BTC","world","web",0,41,2016-06-06
"160",2016-06-08 00:30:00,128.571428571429,"BTC","world","web",0,45,2016-06-07
"161",2016-06-09 00:30:00,105.714285714286,"BTC","world","web",0,37,2016-06-08
"162",2016-06-10 00:30:00,117.142857142857,"BTC","world","web",0,41,2016-06-09
"163",2016-06-11 00:30:00,111.428571428571,"BTC","world","web",0,39,2016-06-10
"164",2016-06-12 00:30:00,162.857142857143,"BTC","world","web",0,57,2016-06-11
"165",2016-06-13 00:30:00,165.714285714286,"BTC","world","web",0,58,2016-06-12
"166",2016-06-14 00:30:00,174.285714285714,"BTC","world","web",0,61,2016-06-13
"167",2016-06-15 00:30:00,134.285714285714,"BTC","world","web",0,47,2016-06-14
"168",2016-06-16 00:30:00,165.714285714286,"BTC","world","web",0,58,2016-06-15
"169",2016-06-17 00:30:00,177.142857142857,"BTC","world","web",0,62,2016-06-16
"170",2016-06-18 00:30:00,171.428571428571,"BTC","world","web",0,60,2016-06-17
"171",2016-06-19 00:30:00,160,"BTC","world","web",0,56,2016-06-18
"172",2016-06-20 00:30:00,168.571428571429,"BTC","world","web",0,59,2016-06-19
"173",2016-06-21 00:30:00,185.714285714286,"BTC","world","web",0,65,2016-06-20
"174",2016-06-22 00:30:00,177.142857142857,"BTC","world","web",0,62,2016-06-21
"175",2016-06-23 00:30:00,214.285714285714,"BTC","world","web",0,75,2016-06-22
"176",2016-06-24 00:30:00,285.714285714286,"BTC","world","web",0,100,2016-06-23
"177",2016-06-25 00:30:00,211.428571428571,"BTC","world","web",0,74,2016-06-24
"178",2016-06-26 00:30:00,185.714285714286,"BTC","world","web",0,65,2016-06-25
"179",2016-06-27 00:30:00,205.714285714286,"BTC","world","web",0,72,2016-06-26
"180",2016-06-28 00:30:00,194.285714285714,"BTC","world","web",0,68,2016-06-27
"181",2016-06-29 00:30:00,168.571428571429,"BTC","world","web",0,47,2016-06-28
"182",2016-06-30 00:30:00,168.571428571429,"BTC","world","web",0,47,2016-06-29
"183",2016-07-01 00:30:00,175.744680851064,"BTC","world","web",0,49,2016-06-30
"184",2016-07-02 00:30:00,164.984802431611,"BTC","world","web",0,46,2016-07-01
"185",2016-07-03 00:30:00,161.398176291793,"BTC","world","web",0,45,2016-07-02
"186",2016-07-04 00:30:00,161.398176291793,"BTC","world","web",0,45,2016-07-03
"187",2016-07-05 00:30:00,161.398176291793,"BTC","world","web",0,45,2016-07-04
"188",2016-07-06 00:30:00,150.63829787234,"BTC","world","web",0,42,2016-07-05
"189",2016-07-07 00:30:00,157.811550151976,"BTC","world","web",0,44,2016-07-06
"190",2016-07-08 00:30:00,175.744680851064,"BTC","world","web",0,49,2016-07-07
"191",2016-07-09 00:30:00,193.677811550152,"BTC","world","web",0,54,2016-07-08
"192",2016-07-10 00:30:00,172.158054711246,"BTC","world","web",0,48,2016-07-09
"193",2016-07-11 00:30:00,175.744680851064,"BTC","world","web",0,49,2016-07-10
"194",2016-07-12 00:30:00,147.051671732523,"BTC","world","web",0,41,2016-07-11
"195",2016-07-13 00:30:00,154.224924012158,"BTC","world","web",0,43,2016-07-12
"196",2016-07-14 00:30:00,150.63829787234,"BTC","world","web",0,42,2016-07-13
"197",2016-07-15 00:30:00,136.29179331307,"BTC","world","web",0,38,2016-07-14
"198",2016-07-16 00:30:00,125.531914893617,"BTC","world","web",0,35,2016-07-15
"199",2016-07-17 00:30:00,111.185410334347,"BTC","world","web",0,31,2016-07-16
"200",2016-07-18 00:30:00,121.945288753799,"BTC","world","web",0,34,2016-07-17
"201",2016-07-19 00:30:00,129.118541033435,"BTC","world","web",0,36,2016-07-18
"202",2016-07-20 00:30:00,125.531914893617,"BTC","world","web",0,35,2016-07-19
"203",2016-07-21 00:30:00,118.358662613982,"BTC","world","web",0,33,2016-07-20
"204",2016-07-22 00:30:00,118.358662613982,"BTC","world","web",0,33,2016-07-21
"205",2016-07-23 00:30:00,118.358662613982,"BTC","world","web",0,33,2016-07-22
"206",2016-07-24 00:30:00,100.425531914894,"BTC","world","web",0,28,2016-07-23
"207",2016-07-25 00:30:00,114.772036474164,"BTC","world","web",0,32,2016-07-24
"208",2016-07-26 00:30:00,118.358662613982,"BTC","world","web",0,33,2016-07-25
"209",2016-07-27 00:30:00,111.185410334347,"BTC","world","web",0,31,2016-07-26
"210",2016-07-28 00:30:00,118.358662613982,"BTC","world","web",0,33,2016-07-27
"211",2016-07-29 00:30:00,114.772036474164,"BTC","world","web",0,32,2016-07-28
"212",2016-07-30 00:30:00,107.598784194529,"BTC","world","web",0,30,2016-07-29
"213",2016-07-31 00:30:00,114.772036474164,"BTC","world","web",0,32,2016-07-30
"214",2016-08-01 00:30:00,139.878419452888,"BTC","world","web",0,39,2016-07-31
"215",2016-08-02 00:30:00,175.744680851064,"BTC","world","web",0,49,2016-08-01
"216",2016-08-03 00:30:00,211.61094224924,"BTC","world","web",0,59,2016-08-02
"217",2016-08-04 00:30:00,197.26443768997,"BTC","world","web",0,55,2016-08-03
"218",2016-08-05 00:30:00,190.091185410334,"BTC","world","web",0,53,2016-08-04
"219",2016-08-06 00:30:00,197.26443768997,"BTC","world","web",0,55,2016-08-05
"220",2016-08-07 00:30:00,197.26443768997,"BTC","world","web",0,55,2016-08-06
"221",2016-08-08 00:30:00,344.316109422492,"BTC","world","web",0,96,2016-08-07
"222",2016-08-09 00:30:00,358.662613981763,"BTC","world","web",0,100,2016-08-08
"223",2016-08-10 00:30:00,301.276595744681,"BTC","world","web",0,84,2016-08-09
"224",2016-08-11 00:30:00,254.650455927052,"BTC","world","web",0,71,2016-08-10
"225",2016-08-12 00:30:00,218.784194528875,"BTC","world","web",0,61,2016-08-11
"226",2016-08-13 00:30:00,222.370820668693,"BTC","world","web",0,62,2016-08-12
"227",2016-08-14 00:30:00,200.851063829787,"BTC","world","web",0,56,2016-08-13
"228",2016-08-15 00:30:00,208.024316109423,"BTC","world","web",0,58,2016-08-14
"229",2016-08-16 00:30:00,190.091185410334,"BTC","world","web",0,53,2016-08-15
"230",2016-08-17 00:30:00,225.957446808511,"BTC","world","web",0,63,2016-08-16
"231",2016-08-18 00:30:00,240.303951367781,"BTC","world","web",0,67,2016-08-17
"232",2016-08-19 00:30:00,236.717325227964,"BTC","world","web",0,66,2016-08-18
"233",2016-08-20 00:30:00,247.477203647416,"BTC","world","web",0,69,2016-08-19
"234",2016-08-21 00:30:00,236.717325227964,"BTC","world","web",0,66,2016-08-20
"235",2016-08-22 00:30:00,268.996960486322,"BTC","world","web",0,75,2016-08-21
"236",2016-08-23 00:30:00,265.410334346505,"BTC","world","web",0,74,2016-08-22
"237",2016-08-24 00:30:00,240.303951367781,"BTC","world","web",0,67,2016-08-23
"238",2016-08-25 00:30:00,240.303951367781,"BTC","world","web",0,67,2016-08-24
"239",2016-08-26 00:30:00,240.303951367781,"BTC","world","web",0,67,2016-08-25
"240",2016-08-27 00:30:00,233.130699088146,"BTC","world","web",0,65,2016-08-26
"241",2016-08-28 00:30:00,208.024316109423,"BTC","world","web",0,58,2016-08-27
"242",2016-08-29 00:30:00,197.26443768997,"BTC","world","web",0,55,2016-08-28
"243",2016-08-30 00:30:00,204.437689969605,"BTC","world","web",0,57,2016-08-29
"244",2016-08-31 00:30:00,186.504559270517,"BTC","world","web",0,52,2016-08-30
"245",2016-09-01 00:30:00,215.197568389058,"BTC","world","web",0,60,2016-08-31
"246",2016-09-02 00:30:00,211.61094224924,"BTC","world","web",0,59,2016-09-01
"247",2016-09-03 00:30:00,204.437689969605,"BTC","world","web",0,57,2016-09-02
"248",2016-09-04 00:30:00,182.917933130699,"BTC","world","web",0,51,2016-09-03
"249",2016-09-05 00:30:00,204.437689969605,"BTC","world","web",0,57,2016-09-04
"250",2016-09-06 00:30:00,179.331306990881,"BTC","world","web",0,50,2016-09-05
"251",2016-09-07 00:30:00,190.091185410334,"BTC","world","web",0,53,2016-09-06
"252",2016-09-08 00:30:00,200.851063829787,"BTC","world","web",0,56,2016-09-07
"253",2016-09-09 00:30:00,190.091185410334,"BTC","world","web",0,53,2016-09-08
"254",2016-09-10 00:30:00,190.091185410334,"BTC","world","web",0,53,2016-09-09
"255",2016-09-11 00:30:00,182.917933130699,"BTC","world","web",0,51,2016-09-10
"256",2016-09-12 00:30:00,182.917933130699,"BTC","world","web",0,51,2016-09-11
"257",2016-09-13 00:30:00,172.158054711246,"BTC","world","web",0,48,2016-09-12
"258",2016-09-14 00:30:00,172.158054711246,"BTC","world","web",0,48,2016-09-13
"259",2016-09-15 00:30:00,186.504559270517,"BTC","world","web",0,52,2016-09-14
"260",2016-09-16 00:30:00,182.917933130699,"BTC","world","web",0,51,2016-09-15
"261",2016-09-17 00:30:00,175.744680851064,"BTC","world","web",0,49,2016-09-16
"262",2016-09-18 00:30:00,168.571428571429,"BTC","world","web",0,47,2016-09-17
"263",2016-09-19 00:30:00,186.504559270517,"BTC","world","web",0,52,2016-09-18
"264",2016-09-20 00:30:00,164.984802431611,"BTC","world","web",0,46,2016-09-19
"265",2016-09-21 00:30:00,168.571428571429,"BTC","world","web",0,47,2016-09-20
"266",2016-09-22 00:30:00,157.811550151976,"BTC","world","web",0,44,2016-09-21
"267",2016-09-23 00:30:00,139.878419452888,"BTC","world","web",0,39,2016-09-22
"268",2016-09-24 00:30:00,136.29179331307,"BTC","world","web",0,38,2016-09-23
"269",2016-09-25 00:30:00,121.945288753799,"BTC","world","web",0,34,2016-09-24
"270",2016-09-26 00:30:00,129.118541033435,"BTC","world","web",0,36,2016-09-25
"271",2016-09-27 00:30:00,125.531914893617,"BTC","world","web",0,66,2016-09-26
"272",2016-09-28 00:30:00,110.315925209542,"BTC","world","web",0,58,2016-09-27
"273",2016-09-29 00:30:00,106.511927788524,"BTC","world","web",0,56,2016-09-28
"274",2016-09-30 00:30:00,112.217923920052,"BTC","world","web",0,59,2016-09-29
"275",2016-10-01 00:30:00,100.805931656995,"BTC","world","web",0,53,2016-09-30
"276",2016-10-02 00:30:00,89.3939393939394,"BTC","world","web",0,47,2016-10-01
"277",2016-10-03 00:30:00,108.413926499033,"BTC","world","web",0,57,2016-10-02
"278",2016-10-04 00:30:00,114.119922630561,"BTC","world","web",0,60,2016-10-03
"279",2016-10-05 00:30:00,114.119922630561,"BTC","world","web",0,60,2016-10-04
"280",2016-10-06 00:30:00,119.825918762089,"BTC","world","web",0,63,2016-10-05
"281",2016-10-07 00:30:00,119.825918762089,"BTC","world","web",0,63,2016-10-06
"282",2016-10-08 00:30:00,112.217923920052,"BTC","world","web",0,59,2016-10-07
"283",2016-10-09 00:30:00,110.315925209542,"BTC","world","web",0,58,2016-10-08
"284",2016-10-10 00:30:00,116.02192134107,"BTC","world","web",0,61,2016-10-09
"285",2016-10-11 00:30:00,117.92392005158,"BTC","world","web",0,62,2016-10-10
"286",2016-10-12 00:30:00,127.433913604126,"BTC","world","web",0,67,2016-10-11
"287",2016-10-13 00:30:00,98.9039329464862,"BTC","world","web",0,52,2016-10-12
"288",2016-10-14 00:30:00,106.511927788524,"BTC","world","web",0,56,2016-10-13
"289",2016-10-15 00:30:00,106.511927788524,"BTC","world","web",0,56,2016-10-14
"290",2016-10-16 00:30:00,102.707930367505,"BTC","world","web",0,54,2016-10-15
"291",2016-10-17 00:30:00,95.0999355254674,"BTC","world","web",0,50,2016-10-16
